borough,neighborhood,id,race,estimate
Queens,Hammels-Arverne-Edgemere                                       ,QN12,WtNHE,6172.0
Queens,Far Rockaway-Bayswater                                         ,QN15,WtNHE,13295.0
Queens,Forest Hills                                                   ,QN17,WtNHE,48721.0
Queens,Rego Park                                                      ,QN18,WtNHE,13232.0
Queens,Glendale                                                       ,QN19,WtNHE,18905.0
Queens,Ridgewood                                                      ,QN20,WtNHE,26654.0
Queens,Middle Village                                                 ,QN21,WtNHE,29358.0
Queens,Flushing                                                       ,QN22,WtNHE,6429.0
Queens,College Point                                                  ,QN23,WtNHE,6789.0
Queens,Corona                                                         ,QN25,WtNHE,5082.0
Queens,North Corona                                                   ,QN26,WtNHE,806.0
Queens,East Elmhurst                                                  ,QN27,WtNHE,1056.0
Queens,Jackson Heights                                                ,QN28,WtNHE,17061.0
Queens,Elmhurst                                                       ,QN29,WtNHE,5487.0
Queens,Maspeth                                                        ,QN30,WtNHE,16242.0
Queens,Hunters Point-Sunnyside-West Maspeth                           ,QN31,WtNHE,22570.0
Queens,Cambria Heights                                                ,QN33,WtNHE,291.0
Queens,Queens Village                                                 ,QN34,WtNHE,3115.0
Queens,Briarwood-Jamaica Hills                                        ,QN35,WtNHE,8081.0
Queens,Kew Gardens Hills                                              ,QN37,WtNHE,19416.0
Queens,Pomonok-Flushing Heights-Hillcrest                             ,QN38,WtNHE,11314.0
Queens,Fresh Meadows-Utopia                                           ,QN41,WtNHE,5914.0
Queens,Oakland Gardens                                                ,QN42,WtNHE,12043.0
Queens,Bellerose                                                      ,QN43,WtNHE,8770.0
Queens,Glen Oaks-Floral Park-New Hyde Park                            ,QN44,WtNHE,10947.0
Queens,Douglas Manor-Douglaston-Little Neck                           ,QN45,WtNHE,12104.0
Queens,Bayside-Bayside Hills                                          ,QN46,WtNHE,20405.0
Queens,Ft. Totten-Bay Terrace-Clearview                               ,QN47,WtNHE,14761.0
Queens,Auburndale                                                     ,QN48,WtNHE,8616.0
Queens,Whitestone                                                     ,QN49,WtNHE,21104.0
Queens,Elmhurst-Maspeth                                               ,QN50,WtNHE,3894.0
Queens,Murray Hill                                                    ,QN51,WtNHE,13747.0
Queens,East Flushing                                                  ,QN52,WtNHE,5381.0
Queens,Woodhaven                                                      ,QN53,WtNHE,9478.0
Queens,Richmond Hill                                                  ,QN54,WtNHE,6813.0
Queens,South Ozone Park                                               ,QN55,WtNHE,5303.0
Queens,Ozone Park                                                     ,QN56,WtNHE,6050.0
Queens,Lindenwood-Howard Beach                                        ,QN57,WtNHE,20612.0
Queens,Kew Gardens                                                    ,QN60,WtNHE,11167.0
Queens,Jamaica                                                        ,QN61,WtNHE,2039.0
Queens,Queensboro Hill                                                ,QN62,WtNHE,3546.0
Queens,Woodside                                                       ,QN63,WtNHE,10259.0
Queens,Laurelton                                                      ,QN66,WtNHE,456.0
Queens,Queensbridge-Ravenswood-Long Island City                       ,QN68,WtNHE,3212.0
Queens,Astoria                                                        ,QN70,WtNHE,39313.0
Queens,Old Astoria                                                    ,QN71,WtNHE,10790.0
Queens,Steinway                                                       ,QN72,WtNHE,30574.0
Queens,Baisley Park                                                   ,QN76,WtNHE,305.0
Queens,Airport                                                        ,QN98,WtNHE,
Queens,park-cemetery-etc-Queens                                       ,QN99,WtNHE,
Staten Island,Annadale-Huguenot-Prince's Bay-Eltingville                     ,SI01,WtNHE,25392.0
Staten Island,New Springville-Bloomfield-Travis                              ,SI05,WtNHE,26301.0
